,customer_id,gender,age,payment_method
70,C309926,Male,34.0,Cash
71,C493252,Female,47.0,Cash
72,C109871,Male,38.0,Cash
73,C136117,Female,57.0,Debit Card
74,C258404,Male,67.0,Cash
75,C169749,Male,41.0,Credit Card
76,C199947,Female,40.0,Debit Card
77,C135790,Female,69.0,Cash
78,C606418,Female,47.0,Cash
79,C111611,Female,53.0,Credit Card
80,C679476,Male,40.0,Cash
81,C542025,Male,60.0,Credit Card
82,C168491,Male,30.0,Cash
83,C169650,Female,66.0,Credit Card
84,C158160,Male,22.0,Cash
85,C552345,Male,53.0,Cash
86,C218383,Female,52.0,Cash
87,C309438,Male,26.0,Cash
88,C253905,Male,66.0,Cash
89,C992677,Male,65.0,Debit Card
90,C584700,Female,43.0,Cash
96,C183011,Male,62.0,Credit Card
97,C567813,Male,39.0,Cash
98,C282974,Female,33.0,Cash
99,C181972,Female,26.0,Debit Card
100,C189493,Male,43.0,Credit Card
101,C242748,Female,40.0,Debit Card
102,C324683,Male,55.0,Credit Card
103,C307921,Female,24.0,Credit Card
104,C152549,Male,24.0,Cash
105,C111832,Female,30.0,Credit Card
106,C204174,Male,34.0,Credit Card
107,C279370,Female,64.0,Cash
108,C907582,Female,57.0,Cash
109,C166635,Male,18.0,Credit Card
110,C276043,Female,26.0,Cash
111,C282643,Female,19.0,Debit Card
112,C820515,Female,22.0,Cash
113,C331761,Male,48.0,Cash
114,C326893,Female,56.0,Cash
115,C306395,Male,35.0,Cash
116,C885344,Female,60.0,Debit Card
117,C112750,Female,32.0,Credit Card
118,C274870,Male,27.0,Credit Card
119,C199864,Female,56.0,Credit Card
120,C997380,Male,35.0,Debit Card
121,C132002,Female,68.0,Credit Card
122,C255058,Female,64.0,Cash
123,C271799,Female,60.0,Cash
124,C765620,Male,64.0,Debit Card
125,C891545,Female,41.0,Debit Card
126,C519513,Male,30.0,Cash
127,C125624,Male,40.0,Debit Card
128,C658980,Female,29.0,Cash
129,C319231,Male,25.0,Cash
130,C150594,Female,60.0,Cash
131,C846730,Female,42.0,Cash
132,C249877,Male,54.0,Cash
133,C200826,Female,50.0,Cash
134,C263874,Male,54.0,Debit Card
135,C663463,Female,45.0,Cash
136,C134370,Female,40.0,Credit Card
137,C310642,Male,24.0,Credit Card
138,C651699,Male,40.0,Cash
139,C989693,Female,32.0,Credit Card
140,C123581,Female,28.0,Cash
141,C192446,Female,22.0,Cash
142,C143343,Female,21.0,Credit Card
143,C223343,Female,31.0,Credit Card
144,C309082,Female,61.0,Credit Card
145,C236365,Female,67.0,Cash
146,C178734,Male,52.0,Cash
147,C223010,Male,44.0,Credit Card
148,C289933,Female,48.0,Credit Card
149,C340116,Female,53.0,Cash
150,C816586,Male,27.0,Cash
151,C434171,Female,28.0,Cash
152,C215384,Female,43.0,Credit Card
153,C143442,Male,54.0,Credit Card
154,C102926,Male,41.0,Credit Card
155,C340063,Female,59.0,Cash
156,C131786,Female,32.0,Credit Card
157,C194380,Female,41.0,Credit Card
158,C269623,Female,30.0,Debit Card
159,C847171,Male,22.0,Debit Card
160,C556552,Female,51.0,Cash
161,C876528,Female,23.0,Credit Card
162,C303493,Male,40.0,Cash
163,C978718,Male,37.0,Cash
164,C111766,Female,24.0,Cash
165,C175946,Male,22.0,Credit Card
166,C160005,Female,61.0,Cash
167,C599109,Female,25.0,Credit Card
168,C693789,Female,66.0,Credit Card
169,C259342,Female,59.0,Cash
170,C208108,Male,38.0,Cash
171,C244213,Male,34.0,Debit Card
172,C102685,Female,26.0,Cash
173,C244291,Female,59.0,Cash
174,C162371,Female,53.0,Debit Card
175,C375422,Male,23.0,Debit Card
176,C911768,Female,23.0,Credit Card
177,C270129,Female,66.0,Debit Card
178,C617189,Female,56.0,Cash
179,C271029,Female,38.0,Credit Card
180,C292356,Male,28.0,Cash
181,C329633,Female,44.0,Cash
182,C244780,Female,26.0,Cash
183,C139568,Female,41.0,Credit Card
184,C220281,Male,50.0,Cash
185,C311034,Female,23.0,Cash
186,C584141,Female,31.0,Cash
187,C221934,Male,26.0,Credit Card
188,C513561,Female,56.0,Cash
189,C257990,Female,34.0,Cash
190,C168348,Female,29.0,Cash
191,C161285,Female,20.0,Credit Card
192,C166191,Female,54.0,Credit Card
193,C172966,Male,40.0,Debit Card
194,C320928,Male,40.0,Cash
195,C131497,Male,21.0,Cash
196,C526660,Female,32.0,Cash
197,C266961,Male,47.0,Credit Card
198,C204741,Female,41.0,Cash
199,C181619,Male,33.0,Cash
200,C250395,Female,67.0,Credit Card
201,C322994,Male,37.0,Cash
202,C250673,Female,38.0,Cash
203,C192978,Male,28.0,Credit Card
204,C163033,Female,38.0,Credit Card
205,C558480,Female,56.0,Credit Card
206,C287409,Male,25.0,Debit Card
207,C993675,Male,66.0,Cash
208,C307535,Female,37.0,Credit Card
209,C238961,Female,19.0,Cash
210,C671866,Female,53.0,Cash
211,C171154,Female,69.0,Cash
212,C848969,Male,69.0,Cash
213,C240171,Female,31.0,Debit Card
214,C665777,Male,39.0,Cash
215,C256730,Male,53.0,Cash
216,C298229,Male,26.0,Cash
217,C183404,Male,63.0,Cash
218,C316398,Female,34.0,Cash
219,C557245,Male,25.0,Debit Card
220,C662958,Female,20.0,Cash
221,C545065,Female,18.0,Debit Card
222,C284679,Male,53.0,Credit Card
223,C581947,Male,46.0,Cash
224,C199311,Female,34.0,Credit Card
225,C206501,Female,61.0,Cash
226,C726021,Female,38.0,Credit Card
227,C448846,Female,67.0,Cash
228,C168663,Male,33.0,Credit Card
229,C616106,Female,63.0,Debit Card
230,C771066,Female,21.0,Debit Card
231,C101196,Female,41.0,Debit Card
232,C898405,Female,48.0,Credit Card
233,C372643,Male,27.0,Debit Card
234,C195626,Female,22.0,Credit Card
235,C622748,Female,54.0,Credit Card
236,C290280,Female,51.0,Cash
237,C281268,Female,29.0,Debit Card
238,C826744,Female,44.0,Credit Card
239,C252021,Female,20.0,Credit Card
240,C647656,Female,59.0,Cash
241,C250065,Female,23.0,Credit Card
242,C230766,Female,25.0,Credit Card
243,C243515,Male,63.0,Cash
244,C204632,Male,21.0,Debit Card
245,C252598,Female,56.0,Credit Card
246,C866033,Male,39.0,Credit Card
247,C288416,Male,50.0,Credit Card
248,C340089,Female,54.0,Debit Card
249,C555040,Male,27.0,Credit Card
250,C809281,Male,56.0,Credit Card
251,C375325,Female,53.0,Cash
252,C155335,Female,62.0,Credit Card
253,C225051,Female,42.0,Credit Card
254,C635016,Female,68.0,Credit Card
255,C165705,Male,27.0,Cash
256,C709571,Male,39.0,Cash
257,C851508,Male,44.0,Debit Card
258,C184126,Female,52.0,Debit Card
259,C233642,Female,19.0,Cash
260,C258410,Female,68.0,Credit Card
261,C270667,Male,22.0,Cash
262,C321527,Male,61.0,Cash
263,C109489,Male,23.0,Credit Card
264,C103824,Male,34.0,Debit Card
265,C126571,Female,33.0,Debit Card
266,C169676,Female,60.0,Credit Card
267,C321889,Female,24.0,Debit Card
268,C212128,Male,53.0,Debit Card
269,C301271,Male,22.0,Credit Card
270,C221995,Male,50.0,Cash
271,C318802,Male,49.0,Credit Card
272,C263812,Male,31.0,Debit Card
273,C321609,Male,29.0,Cash
274,C666013,Female,52.0,Credit Card
275,C172185,Female,67.0,Cash
276,C150463,Female,50.0,Cash
277,C274529,Female,58.0,Cash
278,C242659,Female,50.0,Debit Card
279,C194451,Female,68.0,Credit Card
280,C252600,Female,59.0,Credit Card
281,C309645,Female,66.0,Cash
282,C336232,Male,69.0,Cash
283,C325906,Male,27.0,Cash
284,C138755,Female,52.0,Credit Card
285,C296745,Female,27.0,Cash
286,C221838,Female,43.0,Credit Card
287,C104985,Male,36.0,Cash
288,C826514,Female,19.0,Cash
289,C267333,Male,21.0,Cash
290,C130479,Male,20.0,Cash
291,C310108,Female,23.0,Debit Card
292,C358486,Female,52.0,Cash
293,C208738,Male,24.0,Credit Card
294,C111056,Female,20.0,Credit Card
295,C999586,Male,58.0,Credit Card
296,C296862,Male,21.0,Debit Card
297,C101550,Male,35.0,Cash
298,C278142,Female,29.0,Cash
299,C330779,Male,68.0,Credit Card
300,C282968,Female,50.0,Debit Card
301,C852668,Female,44.0,Cash
302,C274936,Female,47.0,Cash
303,C269751,Female,48.0,Cash
304,C136051,Female,39.0,Credit Card
305,C266462,Male,27.0,Cash
306,C329163,Female,34.0,Cash
307,C305398,Female,65.0,Cash
308,C267961,Female,53.0,Cash
309,C101248,Female,19.0,Credit Card
310,C165812,Female,19.0,Cash
311,C339518,Female,31.0,Credit Card
312,C235057,Female,43.0,Cash
313,C103944,Male,42.0,Credit Card
314,C260889,Male,58.0,Credit Card
315,C207753,Female,34.0,Debit Card
316,C204154,Female,32.0,Debit Card
317,C290344,Male,27.0,Credit Card
318,C730395,Female,28.0,Credit Card
319,C312155,Male,55.0,Credit Card
320,C259743,Female,48.0,Cash
321,C605200,Female,46.0,Credit Card
322,C317850,Female,20.0,Cash
323,C986860,Male,39.0,Credit Card
324,C236428,Male,44.0,Credit Card
325,C278588,Female,35.0,Debit Card
326,C154184,Male,48.0,Credit Card
327,C287459,Female,22.0,Credit Card
328,C617884,Female,52.0,Debit Card
329,C294024,Male,45.0,Debit Card
330,C790567,Male,64.0,Credit Card
331,C799447,Male,38.0,Credit Card
332,C144628,Female,45.0,Cash
333,C260810,Female,41.0,Cash
334,C670524,Female,57.0,Cash
335,C334281,Male,57.0,Debit Card
336,C314173,Female,60.0,Credit Card
337,C122712,Female,44.0,Debit Card
338,C276111,Male,38.0,Cash
339,C277924,Male,65.0,Credit Card
340,C286466,Male,30.0,Debit Card
341,C327001,Female,50.0,Debit Card
342,C509924,Female,19.0,Credit Card
343,C453635,Male,26.0,Debit Card
344,C259539,Female,54.0,Credit Card
345,C729392,Female,63.0,Credit Card
346,C280085,Female,66.0,Debit Card
347,C767634,Female,48.0,Debit Card
348,C230018,Male,46.0,Debit Card
349,C238063,Male,54.0,Cash
350,C308584,Male,62.0,Cash
351,C216619,Female,64.0,Credit Card
352,C241523,Male,55.0,Cash
353,C209761,Female,20.0,Credit Card
354,C329153,Male,41.0,Credit Card
355,C126702,Male,54.0,Credit Card
356,C287787,Male,34.0,Cash
357,C142943,Female,31.0,Cash
358,C100484,Male,48.0,Cash
359,C260213,Female,44.0,Debit Card
360,C210589,Female,42.0,Credit Card
361,C885556,Male,25.0,Credit Card
362,C944366,Male,64.0,Cash
363,C462011,Female,67.0,Cash
364,C262366,Female,55.0,Cash
365,C212400,Female,62.0,Credit Card
366,C204307,Female,54.0,Credit Card
367,C162871,Female,43.0,Credit Card
368,C119825,Female,30.0,Cash
369,C260171,Female,58.0,Debit Card
370,C244973,Male,49.0,Credit Card
371,C208765,Female,49.0,Cash
372,C321053,Female,19.0,Debit Card
373,C183356,Female,58.0,Debit Card
374,C155763,Female,49.0,Credit Card
375,C567509,Female,50.0,Cash
376,C486241,Female,21.0,Cash
377,C306892,Male,21.0,Cash
378,C266819,Male,63.0,Credit Card
379,C317897,Male,30.0,Credit Card
380,C545424,Male,66.0,Credit Card
381,C224223,Female,23.0,Cash
382,C286181,Female,69.0,Cash
383,C144371,Female,45.0,Credit Card
384,C402433,Male,53.0,Credit Card
385,C297425,Female,50.0,Cash
386,C222906,Female,45.0,Debit Card
387,C236397,Female,47.0,Debit Card
388,C309079,Female,36.0,Debit Card
389,C116633,Female,61.0,Cash
390,C259606,Female,46.0,Credit Card
391,C333065,Male,47.0,Debit Card
392,C211494,Female,38.0,Cash
393,C302831,Female,41.0,Credit Card
394,C282397,Male,29.0,Cash
395,C233697,Female,58.0,Credit Card
396,C129976,Male,69.0,Debit Card
397,C812053,Female,53.0,Cash
398,C324783,Male,26.0,Cash
399,C281502,Male,53.0,Cash
400,C433234,Female,63.0,Credit Card
401,C167183,Female,54.0,Credit Card
402,C311195,Female,54.0,Debit Card
403,C107399,Male,45.0,Credit Card
404,C992967,Female,62.0,Credit Card
405,C246719,Female,18.0,Credit Card
406,C220859,Female,44.0,Credit Card
407,C285422,Male,50.0,Cash
408,C217049,Male,31.0,Credit Card
409,C141094,Male,62.0,Cash
410,C310628,Female,20.0,Debit Card
411,C297711,Female,65.0,Cash
412,C211354,Female,63.0,Cash
413,C281864,Female,57.0,Cash
414,C234177,Female,59.0,Debit Card
415,C335822,Female,44.0,Debit Card
416,C107261,Female,63.0,Credit Card
417,C653357,Male,65.0,Cash
418,C327084,Female,68.0,Cash
419,C218706,Female,21.0,Debit Card
420,C321931,Female,33.0,Credit Card
421,C403983,Female,23.0,Cash
422,C137912,Female,49.0,Cash
423,C229733,Male,57.0,Credit Card
424,C304835,Female,54.0,Credit Card
425,C124933,Female,41.0,Credit Card
426,C111115,Female,21.0,Cash
427,C248988,Female,45.0,Debit Card
428,C162574,Female,58.0,Credit Card
429,C331880,Male,53.0,Cash
430,C291911,Female,53.0,Credit Card
431,C153958,Male,39.0,Debit Card
432,C125209,Female,21.0,Cash
433,C320640,Female,51.0,Credit Card
434,C803666,Male,50.0,Debit Card
435,C134691,Female,50.0,Cash
436,C729802,Male,61.0,Cash
437,C252250,Male,44.0,Credit Card
438,C208545,Female,31.0,Debit Card
439,C310975,Male,64.0,Credit Card
440,C109758,Male,50.0,Credit Card
441,C214463,Male,45.0,Credit Card
442,C387164,Female,29.0,Debit Card
443,C135196,Female,33.0,Cash
444,C284031,Male,29.0,Cash
445,C259260,Male,65.0,Credit Card
446,C109593,Female,66.0,Cash
447,C270238,Male,54.0,Credit Card
448,C308978,Male,44.0,Credit Card
449,C221607,Male,46.0,Cash
450,C115148,Male,37.0,Cash
451,C253248,Female,22.0,Credit Card
452,C290760,Female,55.0,Cash
453,C258089,Male,41.0,Cash
454,C222102,Male,42.0,Credit Card
455,C209440,Male,24.0,Credit Card
456,C203263,Female,43.0,Cash
457,C232103,Male,40.0,Credit Card
458,C213360,Female,22.0,Cash
459,C225105,Female,27.0,Cash
460,C158124,Female,68.0,Credit Card
461,C246484,Female,48.0,Credit Card
462,C197019,Female,56.0,Cash
463,C947114,Male,25.0,Debit Card
464,C115431,Male,30.0,Cash
465,C266394,Female,49.0,Credit Card
466,C122371,Male,57.0,Credit Card
467,C736428,Female,46.0,Cash
468,C127339,Male,29.0,Cash
469,C164662,Female,69.0,Debit Card
470,C248884,Female,42.0,Debit Card
471,C100684,Female,38.0,Credit Card
472,C240688,Female,46.0,Debit Card
473,C246364,Male,31.0,Debit Card
474,C195413,Male,26.0,Cash
475,C197308,Female,48.0,Cash
476,C264767,Male,30.0,Credit Card
477,C299172,Male,56.0,Cash
478,C994327,Male,65.0,Cash
479,C337644,Female,53.0,Credit Card
480,C175449,Female,43.0,Cash
481,C249092,Male,26.0,Cash
482,C432132,Male,23.0,Debit Card
483,C289802,Female,54.0,Credit Card
484,C194330,Male,56.0,Cash
485,C127945,Female,37.0,Cash
486,C202057,Male,48.0,Debit Card
487,C315209,Male,56.0,Debit Card
488,C323605,Female,58.0,Cash
489,C282395,Female,40.0,Credit Card
490,C109491,Female,38.0,Debit Card
491,C261194,Female,40.0,Credit Card
492,C232330,Male,64.0,Cash
493,C737782,Male,28.0,Debit Card
494,C123201,Male,49.0,Debit Card
495,C230641,Male,51.0,Cash
496,C805154,Male,22.0,Credit Card
497,C330021,Female,67.0,Debit Card
498,C107668,Female,22.0,Credit Card
499,C209722,Female,26.0,Cash
500,C210614,Female,42.0,Debit Card
501,C212378,Female,45.0,Credit Card
502,C313586,Female,43.0,Credit Card
503,C292604,Female,35.0,Debit Card
504,C216257,Male,49.0,Credit Card
505,C272779,Female,49.0,Cash
506,C100507,Male,33.0,Cash
507,C190072,Female,65.0,Cash
508,C111827,Male,40.0,Cash
509,C203955,Male,68.0,Cash
510,C680169,Female,26.0,Cash
511,C281091,Male,38.0,Debit Card
512,C209122,Female,56.0,Credit Card
513,C231964,Male,19.0,Cash
514,C291641,Female,18.0,Cash
515,C315386,Male,55.0,Credit Card
516,C290158,Female,53.0,Cash
517,C226218,Female,69.0,Cash
518,C633946,Male,27.0,Cash
519,C118742,Female,36.0,Cash
520,C218295,Female,61.0,Debit Card
521,C636874,Female,43.0,Credit Card
522,C310472,Female,51.0,Credit Card
523,C119440,Male,38.0,Credit Card
524,C230305,Male,34.0,Debit Card
525,C197131,Male,23.0,Credit Card
526,C278721,Male,56.0,Credit Card
527,C247868,Male,60.0,Credit Card
528,C834257,Female,59.0,Cash
529,C242041,Male,43.0,Credit Card
530,C892871,Male,55.0,Cash
531,C280596,Male,40.0,Cash
532,C703073,Female,43.0,Credit Card
533,C282097,Male,59.0,Credit Card
534,C179726,Male,24.0,Debit Card
535,C838282,Female,63.0,Credit Card
536,C181939,Male,31.0,Cash
537,C755148,Female,69.0,Credit Card
538,C282107,Female,36.0,Credit Card
539,C102560,Female,54.0,Cash
540,C229670,Male,22.0,Cash
541,C269986,Male,39.0,Cash
542,C191300,Male,26.0,Debit Card
543,C167158,Male,44.0,Credit Card
544,C318225,Female,35.0,Debit Card
545,C101108,Female,66.0,Debit Card
546,C103073,Male,61.0,Cash
547,C299787,Female,30.0,Credit Card
548,C555827,Male,55.0,Debit Card
549,C992695,Female,22.0,Debit Card
550,C178176,Female,51.0,Debit Card
551,C211245,Male,53.0,Cash
552,C139231,Female,54.0,Credit Card
553,C339339,Male,34.0,Credit Card
554,C321993,Female,49.0,Credit Card
555,C226519,Female,41.0,Cash
556,C715684,Female,34.0,Credit Card
557,C328195,Female,59.0,Cash
558,C284366,Female,20.0,Cash
559,C354398,Female,23.0,Cash
560,C317063,Female,25.0,Credit Card
561,C156360,Female,63.0,Debit Card
562,C474896,Male,68.0,Credit Card
563,C140082,Male,58.0,Debit Card
564,C240510,Male,58.0,Debit Card
565,C292758,Male,47.0,Credit Card
566,C222262,Female,22.0,Credit Card
567,C130016,Female,51.0,Credit Card
568,C305749,Male,56.0,Cash
569,C316261,Male,33.0,Cash
570,C178487,Male,27.0,Debit Card
571,C205731,Male,50.0,Cash
572,C171122,Female,49.0,Cash
573,C266021,Female,52.0,Cash
574,C576719,Male,54.0,Cash
575,C254022,Male,19.0,Credit Card
576,C121489,Female,49.0,Debit Card
577,C211545,Female,44.0,Credit Card
578,C245349,Male,69.0,Credit Card
579,C644605,Female,41.0,Debit Card
580,C293936,Female,25.0,Cash
581,C387282,Female,51.0,Cash
582,C405837,Female,53.0,Cash
583,C193298,Female,20.0,Credit Card
584,C363987,Male,62.0,Cash
585,C995929,Female,30.0,Debit Card
586,C236969,Female,47.0,Cash
587,C145797,Male,40.0,Credit Card
588,C241450,Female,35.0,Credit Card
589,C196296,Female,41.0,Cash
590,C306908,Female,48.0,Cash
591,C141984,Male,26.0,Cash
592,C720642,Female,27.0,Cash
593,C270638,Female,26.0,Debit Card
594,C858536,Female,65.0,Credit Card
595,C289573,Female,25.0,Credit Card
596,C122094,Female,19.0,Credit Card
597,C162986,Male,21.0,Credit Card
598,C271881,Female,61.0,Cash
599,C214260,Female,65.0,Debit Card
600,C209210,Female,23.0,Credit Card
601,C296477,Male,42.0,Cash
602,C134069,Male,33.0,Credit Card
603,C241442,Female,54.0,Credit Card
604,C312418,Female,67.0,Credit Card
605,C127004,Female,41.0,Cash
606,C198868,Female,57.0,Cash
607,C173860,Female,35.0,Cash
608,C186098,Male,62.0,Cash
609,C285261,Male,26.0,Cash
610,C214662,Male,48.0,Cash
611,C163444,Female,57.0,Cash
612,C533520,Female,53.0,Cash
613,C339565,Male,58.0,Cash
614,C202977,Female,32.0,Credit Card
615,C237063,Female,23.0,Cash
616,C108497,Female,49.0,Cash
617,C219299,Female,26.0,Credit Card
618,C247547,Female,62.0,Credit Card
619,C190917,Male,30.0,Cash
620,C337220,Female,28.0,Credit Card
621,C217919,Female,65.0,Debit Card
622,C112544,Female,56.0,Credit Card
623,C168912,Female,40.0,Cash
624,C279747,Male,55.0,Credit Card
625,C249401,Female,61.0,Credit Card
626,C128618,Female,35.0,Cash
627,C182105,Female,37.0,Cash
628,C331127,Male,32.0,Cash
629,C286564,Female,68.0,Debit Card
630,C188064,Female,44.0,Cash
631,C293329,Female,61.0,Credit Card
632,C113739,Male,38.0,Cash
633,C836254,Female,66.0,Credit Card
634,C245894,Female,53.0,Cash
635,C144894,Female,21.0,Credit Card
636,C190794,Male,61.0,Cash
637,C142508,Female,32.0,Debit Card
638,C135555,Female,46.0,Cash
639,C501563,Male,25.0,Cash
640,C152590,Female,49.0,Credit Card
641,C772839,Female,26.0,Cash
642,C623421,Female,40.0,Credit Card
643,C222949,Female,20.0,Credit Card
644,C133451,Female,38.0,Cash
645,C195342,Female,63.0,Cash
646,C336400,Male,25.0,Credit Card
647,C175833,Female,19.0,Cash
648,C246602,Female,53.0,Cash
649,C329003,Female,51.0,Cash
650,C270340,Male,56.0,Credit Card
651,C330141,Male,29.0,Cash
652,C121707,Female,20.0,Debit Card
653,C112452,Female,35.0,Credit Card
654,C269710,Female,62.0,Cash
655,C297610,Female,32.0,Cash
656,C319935,Male,48.0,Cash
657,C785507,Male,43.0,Debit Card
658,C217834,Female,57.0,Credit Card
659,C709370,Male,33.0,Cash
660,C216369,Female,49.0,Cash
661,C322689,Female,29.0,Cash
662,C146203,Female,43.0,Credit Card
663,C611809,Female,36.0,Credit Card
664,C210236,Female,59.0,Cash
665,C297118,Female,31.0,Credit Card
666,C180586,Female,51.0,Debit Card
667,C314705,Male,27.0,Cash
668,C272419,Female,62.0,Credit Card
669,C282520,Male,44.0,Debit Card
670,C319624,Female,18.0,Debit Card
671,C264687,Female,52.0,Credit Card
672,C140543,Male,60.0,Credit Card
673,C339391,Female,34.0,Debit Card
674,C285587,Male,47.0,Cash
675,C137134,Female,58.0,Cash
676,C103896,Female,51.0,Credit Card
677,C315479,Female,32.0,Debit Card
678,C181912,Female,23.0,Credit Card
679,C335107,Female,38.0,Cash
680,C121510,Male,63.0,Credit Card
681,C477489,Female,50.0,Cash
682,C331382,Male,64.0,Cash
683,C554087,Male,51.0,Cash
684,C226252,Male,21.0,Debit Card
685,C227695,Female,20.0,Cash
686,C246136,Male,34.0,Credit Card
687,C170928,Female,26.0,Debit Card
688,C200317,Female,19.0,Credit Card
689,C192979,Female,47.0,Credit Card
690,C198568,Male,47.0,Cash
691,C251518,Female,56.0,Credit Card
692,C215210,Male,42.0,Debit Card
693,C271571,Male,49.0,Cash
694,C303444,Female,51.0,Debit Card
695,C506925,Female,41.0,Cash
696,C294604,Male,27.0,Cash
697,C190939,Female,61.0,Debit Card
698,C129849,Female,38.0,Cash
699,C235178,Male,42.0,Credit Card
700,C267843,Male,58.0,Debit Card
701,C186861,Female,57.0,Cash
702,C219983,Male,23.0,Cash
703,C250033,Female,62.0,Debit Card
704,C506663,Male,31.0,Cash
705,C235482,Female,54.0,Credit Card
706,C781893,Male,19.0,Credit Card
707,C328444,Male,68.0,Cash
708,C307592,Male,44.0,Credit Card
709,C541983,Female,44.0,Credit Card
710,C283381,Female,29.0,Cash
711,C301099,Female,67.0,Credit Card
712,C246641,Female,28.0,Debit Card
713,C312617,Female,34.0,Credit Card
714,C204164,Male,45.0,Debit Card
715,C259798,Female,55.0,Debit Card
716,C215336,Female,69.0,Debit Card
717,C339648,Male,30.0,Credit Card
718,C290275,Female,38.0,Cash
719,C230120,Male,39.0,Debit Card
720,C478733,Female,63.0,Debit Card
721,C201255,Male,49.0,Cash
722,C289918,Female,66.0,Credit Card
723,C937123,Female,68.0,Cash
724,C322924,Male,18.0,Cash
725,C690345,Female,42.0,Cash
726,C247049,Female,54.0,Cash
727,C280253,Male,43.0,Credit Card
728,C169477,Male,54.0,Cash
729,C131819,Male,43.0,Credit Card
730,C442324,Male,44.0,Credit Card
731,C114347,Male,36.0,Debit Card
732,C216456,Female,41.0,Cash
733,C152833,Female,45.0,Credit Card
734,C171160,Female,41.0,Cash
735,C259884,Male,58.0,Credit Card
736,C114606,Female,34.0,Debit Card
737,C216025,Female,67.0,Cash
738,C884264,Male,60.0,Credit Card
739,C697667,Female,31.0,Cash
740,C136585,Female,52.0,Cash
741,C146582,Male,25.0,Credit Card
742,C129039,Female,22.0,Cash
743,C183846,Female,34.0,Credit Card
744,C297404,Male,30.0,Cash
745,C127819,Female,25.0,Credit Card
746,C127718,Female,48.0,Cash
747,C230543,Male,30.0,Debit Card
748,C302358,Female,30.0,Cash
749,C105060,Female,36.0,Cash
750,C182606,Female,52.0,Credit Card
751,C295864,Male,33.0,Cash
752,C323307,Male,69.0,Cash
753,C104350,Female,46.0,Cash
754,C282281,Female,65.0,Debit Card
755,C506887,Male,27.0,Cash
756,C528686,Female,42.0,Cash
757,C157218,Female,56.0,Credit Card
758,C172691,Female,68.0,Credit Card
759,C330221,Male,64.0,Credit Card
760,C336104,Male,59.0,Debit Card
761,C807852,Female,68.0,Credit Card
762,C128312,Male,25.0,Cash
763,C150950,Female,40.0,Credit Card
764,C305706,Female,18.0,Debit Card
765,C310310,Male,56.0,Cash
766,C414958,Female,36.0,Cash
767,C296534,Female,30.0,Credit Card
768,C234534,Female,52.0,Debit Card
769,C247694,Female,24.0,Debit Card
770,C141657,Female,30.0,Cash
771,C156233,Female,45.0,Cash
772,C354331,Male,29.0,Cash
773,C131221,Male,24.0,Debit Card
774,C123445,Female,46.0,Cash
